feature|observation|otype|sindiv
053de06b-8d79-4110-bf62-b2632dad6b39|wreath|c56a2f63-a6ad-4ce0-a4de-5d996f3d63b7|nan
055f173d-3b84-417c-aae2-2f48f2e27a76|inscription|8b2444c1-127f-4757-b4ef-dfba5f4424b1|nan
056c2552-244f-4f75-bee3-1e0c3431dc08|woman|101a0b9d-2623-428b-0004-7f8347cfc3fa|nan
056c2552-244f-4f75-bee3-1e0c3431dc08|Armstrong 8.223B|Statement|d26eabe8-4b76-45f3-9d4b-5d71f743d91b
056c2552-244f-4f75-bee3-1e0c3431dc08|tunic|101a0b9d-2623-428b-0223-7f8347cfc3fa|nan
056c2552-244f-4f75-bee3-1e0c3431dc08|Löwenstein Heilung der Blutflüssigen A|Statement|fdf39293-717a-4552-93e3-ddfc0c46e90a
056c2552-244f-4f75-bee3-1e0c3431dc08|woman with the issue of blood|101a0b9d-2623-428b-0136-7f8347cfc3fa|nan
056c2552-244f-4f75-bee3-1e0c3431dc08|long tunic|101a0b9d-2623-428b-0213-7f8347cfc3fa|nan
057c5b9f-cba4-4042-b555-f651f3b90819|Hayes 42|Statement|nan
057c5b9f-cba4-4042-b555-f651f3b90819|circle line|101a0b9d-2623-428b-0236-7f8347cfc3fa|nan
05b81d71-d2d5-456d-bb05-ebcc4db3f076|tabula ansata|101a0b9d-2623-428b-0161-7f8347cfc3fa|nan
05b81d71-d2d5-456d-bb05-ebcc4db3f076|Armstrong 1.89|Statement|6d8a3d1b-f6b1-4209-be69-89ecc1d2605f
065cf579-c0c6-4296-82f7-7a134efd5aeb|medallion|101a0b9d-2623-428b-0246-7f8347cfc3fa|nan
065f60e2-b8ad-4ece-8a41-08fef70a44e0|Armstrong 8.194|Statement|e80e61c5-d27f-4e78-b5f8-79012720c3ab
065f60e2-b8ad-4ece-8a41-08fef70a44e0|tunic|101a0b9d-2623-428b-0223-7f8347cfc3fa|nan
065f60e2-b8ad-4ece-8a41-08fef70a44e0|Good Shepherd|101a0b9d-2623-428b-0123-7f8347cfc3fa|nan
065f60e2-b8ad-4ece-8a41-08fef70a44e0|man|101a0b9d-2623-428b-0003-7f8347cfc3fa|nan
065f60e2-b8ad-4ece-8a41-08fef70a44e0|phrygian cap|101a0b9d-2623-428b-0218-7f8347cfc3fa|nan
065f60e2-b8ad-4ece-8a41-08fef70a44e0|short belted tunic|101a0b9d-2623-428b-0219-7f8347cfc3fa|nan
065f60e2-b8ad-4ece-8a41-08fef70a44e0|ram|101a0b9d-2623-428b-0038-7f8347cfc3fa|nan
065f60e2-b8ad-4ece-8a41-08fef70a44e0|mantle|101a0b9d-2623-428b-0214-7f8347cfc3fa|nan
0660eacb-a99b-4804-bd9e-4897692be9ae|concentric circle|101a0b9d-2623-428b-0238-7f8347cfc3fa|nan
0660eacb-a99b-4804-bd9e-4897692be9ae|trefoil pattern|101a0b9d-2623-428b-0254-7f8347cfc3fa|nan
0660eacb-a99b-4804-bd9e-4897692be9ae|Hayes 28|Statement|nan
0664b2b7-ac70-414b-9ea3-ebaa6e35e125|Armstrong 3.8|Statement|522a11e5-ff73-475a-8dbf-cb5ba6db2faa
0664b2b7-ac70-414b-9ea3-ebaa6e35e125|palm branch|101a0b9d-2623-428b-0065-7f8347cfc3fa|nan
0686dca5-4614-418f-99c3-e167c3bad172|man|101a0b9d-2623-428b-0003-7f8347cfc3fa|nan
0686dca5-4614-418f-99c3-e167c3bad172|Jonah|101a0b9d-2623-428b-0126-7f8347cfc3fa|nan
0686dca5-4614-418f-99c3-e167c3bad172|sea-monster|101a0b9d-2623-428b-0078-7f8347cfc3fa|nan
0686dca5-4614-418f-99c3-e167c3bad172|Armstrong 8.212|Statement|a7473586-d3c7-4012-9df5-7e1a30f0d4fc
06ae3f0f-7a69-4cd1-a43e-a47bc92effab|blossom|a7b2c650-5e05-41ef-bb97-b3c9c26ccb16|nan
06ae3f0f-7a69-4cd1-a43e-a47bc92effab|Hayes 58|Statement|nan
06bf6c3f-dbcc-448a-b5e8-7517121f8a2a|Armstrong 6.43|Statement|ea029623-e35b-4834-9bd5-8717f1c11243
06bf6c3f-dbcc-448a-b5e8-7517121f8a2a|lioness|101a0b9d-2623-428b-0032-7f8347cfc3fa|nan
06c8ee00-519f-4cb5-8ccc-156fd0ea581e|Atlante 32|Statement|9427cde3-2334-40c2-9a24-da6b1ec29d69
06c8ee00-519f-4cb5-8ccc-156fd0ea581e|Armstrong 1.72|Statement|927c71a5-1caf-496e-8ebc-824c574176a0
06c8ee00-519f-4cb5-8ccc-156fd0ea581e|wreath|c56a2f63-a6ad-4ce0-a4de-5d996f3d63b7|nan
06f0f787-b26d-419f-8a60-a7199c7cc2d3|arch|101a0b9d-2623-428b-0184-7f8347cfc3fa|nan
06f0f787-b26d-419f-8a60-a7199c7cc2d3|column|101a0b9d-2623-428b-0187-7f8347cfc3fa|nan
06f0f787-b26d-419f-8a60-a7199c7cc2d3|Armstrong 2.31|Statement|274838a7-f69f-4dae-a873-c3889918af63
0722dca1-1847-4020-9788-c9d1cad047dd|Triton|101a0b9d-2623-428b-0115-7f8347cfc3fa|nan
0732e3af-9fba-49c7-b446-988386b48b91|erots|101a0b9d-2623-428b-0111-7f8347cfc3fa|nan
0732e3af-9fba-49c7-b446-988386b48b91|ship|101a0b9d-2623-428b-0158-7f8347cfc3fa|nan
0732e3af-9fba-49c7-b446-988386b48b91|Löwenstein Erotengelage IV|Statement|cbba9a33-caef-4360-860c-31d06c226134
07672812-4fd9-4d9e-b3c5-a28af6b4cddc|mask|101a0b9d-2623-428b-0227-7f8347cfc3fa|nan
07672812-4fd9-4d9e-b3c5-a28af6b4cddc|Oceanus|101a0b9d-2623-428b-0102-7f8347cfc3fa|nan
07672812-4fd9-4d9e-b3c5-a28af6b4cddc|Armstrong 5.106|Statement|3e83d102-5425-4754-bf26-2385d9510def
076be09f-96bb-4595-ada1-abcea4d4bfef|Löwenstein Erotengelage?|Statement|701e089f-cf16-41df-8879-283e30dcb010
076be09f-96bb-4595-ada1-abcea4d4bfef|ship|101a0b9d-2623-428b-0158-7f8347cfc3fa|nan
076be09f-96bb-4595-ada1-abcea4d4bfef|erot|101a0b9d-2623-428b-0111-7f8347cfc3fa|nan
07ad8d8e-9e50-46d7-b917-101c87966f14|bow|101a0b9d-2623-428b-0165-7f8347cfc3fa|nan
07ad8d8e-9e50-46d7-b917-101c87966f14|Atlante 133|Statement|4cdddb03-91b5-4064-bc2b-417fb46a9372
07ad8d8e-9e50-46d7-b917-101c87966f14|Löwenstein Hercules IX|Statement|a742bf14-dcfe-42eb-9480-190c5731d1ce
07ad8d8e-9e50-46d7-b917-101c87966f14|lionsskin|101a0b9d-2623-428b-0211-7f8347cfc3fa|nan
07ad8d8e-9e50-46d7-b917-101c87966f14|Hercules|101a0b9d-2623-428b-0091-7f8347cfc3fa|nan
07ad8d8e-9e50-46d7-b917-101c87966f14|man|101a0b9d-2623-428b-0003-7f8347cfc3fa|nan
07ad8d8e-9e50-46d7-b917-101c87966f14|club|101a0b9d-2623-428b-0162-7f8347cfc3fa|nan
07ad8d8e-9e50-46d7-b917-101c87966f14|Armstrong 8.112|Statement|dbddc626-1729-43c5-9b17-92c1f9dd26eb
07b614a7-edde-482d-a61b-3cc577a3e5df|tabula ansata|101a0b9d-2623-428b-0161-7f8347cfc3fa|nan
07b614a7-edde-482d-a61b-3cc577a3e5df|Armstrong 1.89|Statement|6d8a3d1b-f6b1-4209-be69-89ecc1d2605f
08ceef00-1191-4acc-a9de-6d30aa70ac0a|Hayes 100|Statement|nan
08ceef00-1191-4acc-a9de-6d30aa70ac0a|lozenges|101a0b9d-2623-428b-0245-7f8347cfc3fa|nan
08f60baf-fd6c-4a2f-a99d-ba559275c151|Armstrong 1.74|Statement|8cf84d41-046e-49ae-920a-96f7baa8c020
08f60baf-fd6c-4a2f-a99d-ba559275c151|wreath|c56a2f63-a6ad-4ce0-a4de-5d996f3d63b7|nan
09027a20-ad04-46b8-8dea-64f3eeb10f97|circle with arcs and circle at center|f49491a5-0978-4e93-8379-3e4498f9b931|nan
09027a20-ad04-46b8-8dea-64f3eeb10f97|circle with dot-fringes and cross|662756b5-b08a-4576-9932-d6ae88292d90|nan
09027a20-ad04-46b8-8dea-64f3eeb10f97|Hayes 87|Statement|nan
09027a20-ad04-46b8-8dea-64f3eeb10f97|medallion|101a0b9d-2623-428b-0246-7f8347cfc3fa|nan
09495341-298f-4be2-9dca-2cdd7206d831|inscription|8b2444c1-127f-4757-b4ef-dfba5f4424b1|nan
09495341-298f-4be2-9dca-2cdd7206d831|Armstrong 9.2|Statement|fb3f1ad4-dc8f-4a1c-ac8d-758566dce6e8
096c95b6-fc3b-468e-a2ea-2e68c5b8fddf|short belted tunic|101a0b9d-2623-428b-0219-7f8347cfc3fa|nan
096c95b6-fc3b-468e-a2ea-2e68c5b8fddf|tunic|101a0b9d-2623-428b-0223-7f8347cfc3fa|nan
096c95b6-fc3b-468e-a2ea-2e68c5b8fddf|man|101a0b9d-2623-428b-0003-7f8347cfc3fa|nan
096c95b6-fc3b-468e-a2ea-2e68c5b8fddf|breast-band|101a0b9d-2623-428b-0206-7f8347cfc3fa|nan
096c95b6-fc3b-468e-a2ea-2e68c5b8fddf|Solomon|101a0b9d-2623-428b-0135-7f8347cfc3fa|nan
096c95b6-fc3b-468e-a2ea-2e68c5b8fddf|mantle|101a0b9d-2623-428b-0214-7f8347cfc3fa|nan
096c95b6-fc3b-468e-a2ea-2e68c5b8fddf|Armstrong 8.231|Statement|5bf8e4ec-a167-40d6-8f6e-73968eed16bc
097e2036-9135-432a-8e35-6b63f795bd08|Armstrong 6.83|Statement|5cd04b65-7714-4361-a1df-97fc17c9fc5c
097e2036-9135-432a-8e35-6b63f795bd08|bear|101a0b9d-2623-428b-0009-7f8347cfc3fa|nan
09b08075-bdcd-41d7-8901-c0f9526c35f8|medallion|101a0b9d-2623-428b-0246-7f8347cfc3fa|nan
09b08075-bdcd-41d7-8901-c0f9526c35f8|concentric circle|101a0b9d-2623-428b-0238-7f8347cfc3fa|nan
09b08075-bdcd-41d7-8901-c0f9526c35f8|circle line|101a0b9d-2623-428b-0236-7f8347cfc3fa|nan
09b08075-bdcd-41d7-8901-c0f9526c35f8|dots|5481af93-bed2-4bd7-9561-046fa3120eb6|nan
0a80c584-82f7-4057-9915-3c11b3e8e2a1|man|101a0b9d-2623-428b-0003-7f8347cfc3fa|nan
0a80c584-82f7-4057-9915-3c11b3e8e2a1|Armstrong 8.140|Statement|1fdaad2c-eb8e-4708-a76e-42edf5f0b176
0a80c584-82f7-4057-9915-3c11b3e8e2a1|Löwenstein Jünglinge im Feuerofen A|Statement|7ac55536-3b8e-4d33-95f2-8bbb68353fb7
0a94ccb5-b258-41bc-a6b0-6d7569e52356|Oceanus|101a0b9d-2623-428b-0102-7f8347cfc3fa|nan
0a94ccb5-b258-41bc-a6b0-6d7569e52356|mask|101a0b9d-2623-428b-0227-7f8347cfc3fa|nan
0a94ccb5-b258-41bc-a6b0-6d7569e52356|Löwenstein Oceanusmaske III|Statement|a5f1833c-284d-4c5f-a9ff-c26445cdb2ee
0a94ccb5-b258-41bc-a6b0-6d7569e52356|Armstrong 5.98/5.99|Statement|c30c01b2-9c7e-45ec-833b-f734e1000003
0ad9316e-103b-4980-b2a9-cac25aa197ee|short belted tunic|101a0b9d-2623-428b-0219-7f8347cfc3fa|nan
0ad9316e-103b-4980-b2a9-cac25aa197ee|Abraham|101a0b9d-2623-428b-0118-7f8347cfc3fa|nan
0ad9316e-103b-4980-b2a9-cac25aa197ee|tunic|101a0b9d-2623-428b-0223-7f8347cfc3fa|nan
0ad9316e-103b-4980-b2a9-cac25aa197ee|knife|101a0b9d-2623-428b-0168-7f8347cfc3fa|nan
0afdd4f2-6f96-4c40-b7f0-f12e32df3eb0|Armstrong 9.13|Statement|f7d50b8e-d3f5-457a-a94a-a9ed00fb2e19
0afdd4f2-6f96-4c40-b7f0-f12e32df3eb0|shield|101a0b9d-2623-428b-0171-7f8347cfc3fa|nan
0afdd4f2-6f96-4c40-b7f0-f12e32df3eb0|venator|101a0b9d-2623-428b-0146-7f8347cfc3fa|nan
0afdd4f2-6f96-4c40-b7f0-f12e32df3eb0|Atlante C V|Statement|01a73d45-b8e3-465c-adfc-db33f5bab1d3
0b266c06-9432-44dc-b48d-5b46bac11af6|peplos|101a0b9d-2623-428b-0217-7f8347cfc3fa|nan
0b266c06-9432-44dc-b48d-5b46bac11af6|woman|101a0b9d-2623-428b-0004-7f8347cfc3fa|nan
0b266c06-9432-44dc-b48d-5b46bac11af6|throne|101a0b9d-2623-428b-0183-7f8347cfc3fa|nan
0b266c06-9432-44dc-b48d-5b46bac11af6|Minerva|101a0b9d-2623-428b-0098-7f8347cfc3fa|nan
0b266c06-9432-44dc-b48d-5b46bac11af6|Armstrong 8.44|Statement|2b699b71-3fba-452a-9407-985570dd4176
0b266c06-9432-44dc-b48d-5b46bac11af6|Löwenstein Minerva V|Statement|7d2761d5-d801-48d6-871a-c1ff2e8c1f3e
0b266c06-9432-44dc-b48d-5b46bac11af6|helmet|101a0b9d-2623-428b-0167-7f8347cfc3fa|nan
0b53ca92-25df-416d-bb17-1d8053525e5b|Atlante 14|Statement|95264d9c-7d7b-418f-8757-b37adad0f898
0b53ca92-25df-416d-bb17-1d8053525e5b|Armstrong 2.43|Statement|7103939f-9ea3-4af9-a312-4ede000cf774
0b53ca92-25df-416d-bb17-1d8053525e5b|palm-branch|101a0b9d-2623-428b-0065-7f8347cfc3fa|nan
0b70a3cf-b7a5-4b43-af0d-2e74bba2c4d2|triangle|101a0b9d-2623-428b-0253-7f8347cfc3fa|nan
0ba8bb87-c3de-438a-85c2-1686b99b66c2|Atlante 32|Statement|9427cde3-2334-40c2-9a24-da6b1ec29d69
0ba8bb87-c3de-438a-85c2-1686b99b66c2|wreath|c56a2f63-a6ad-4ce0-a4de-5d996f3d63b7|nan
0ba8bb87-c3de-438a-85c2-1686b99b66c2|Armstrong 1.72|Statement|927c71a5-1caf-496e-8ebc-824c574176a0
0cd55963-de3c-40ad-930e-0a36110b23d5|fish|101a0b9d-2623-428b-0022-7f8347cfc3fa|nan
0cd55963-de3c-40ad-930e-0a36110b23d5|Armstrong 5.17|Statement|ef75ea51-dd8c-487d-9101-e0098ae63b05
0ce1b619-eda2-4c8d-afab-2b7781bcf3e6|boar|101a0b9d-2623-428b-0012-7f8347cfc3fa|nan
0ce1b619-eda2-4c8d-afab-2b7781bcf3e6|Armstrong 6.101|Statement|82eb6d7b-5e21-492c-96d4-593e33a6b20c
0d26c1ca-c360-488e-be08-c0eb74ddede9|fiery furnace|101a0b9d-2623-428b-0151-7f8347cfc3fa|nan
0d26c1ca-c360-488e-be08-c0eb74ddede9|Armstrong 8.139|Statement|ae492614-af85-4e63-9c5e-10add33fc23a
0d26c1ca-c360-488e-be08-c0eb74ddede9|man|101a0b9d-2623-428b-0003-7f8347cfc3fa|nan
0d28d0ad-edf7-4cdd-ac43-26a8eecafaa7|loincloth|101a0b9d-2623-428b-0212-7f8347cfc3fa|nan
0d28d0ad-edf7-4cdd-ac43-26a8eecafaa7|man|101a0b9d-2623-428b-0003-7f8347cfc3fa|nan
0d3d67ce-dbff-4f50-b812-bb137de690ea|Löwenstein Herbsthore|Statement|d59ffc06-ac0b-4a54-a417-fe81a23a167a
0d3d67ce-dbff-4f50-b812-bb137de690ea|Armstrong 8.159|Statement|6968945a-77f0-4ab9-82cc-75463c948e14
0d3d67ce-dbff-4f50-b812-bb137de690ea|erot|101a0b9d-2623-428b-0111-7f8347cfc3fa|nan
0d3d67ce-dbff-4f50-b812-bb137de690ea|woman|101a0b9d-2623-428b-0004-7f8347cfc3fa|nan
0d692354-7ec5-4fb9-8169-f6cba1971c68|Armstrong 6.82|Statement|b810ea6f-e826-4219-a490-8b0aef52a02a
0d692354-7ec5-4fb9-8169-f6cba1971c68|bear|101a0b9d-2623-428b-0009-7f8347cfc3fa|nan
0d8e450d-acb6-4037-9594-c5bc925f1895|woman|101a0b9d-2623-428b-0004-7f8347cfc3fa|nan
0d8e450d-acb6-4037-9594-c5bc925f1895|Armstrong 9.3A-D|Statement|d88d0b2a-7a69-4e0b-9326-5d7744cb58fd
0d8e450d-acb6-4037-9594-c5bc925f1895|Achilles|101a0b9d-2623-428b-0080-7f8347cfc3fa|nan
0d8e450d-acb6-4037-9594-c5bc925f1895|boy|101a0b9d-2623-428b-0006-7f8347cfc3fa|nan
0d8e450d-acb6-4037-9594-c5bc925f1895|Löwenstein Übergabe Achills an Chiron|Statement|f203c9a3-d163-42cc-8a9e-47c779b8c15b
0d8e450d-acb6-4037-9594-c5bc925f1895|Thetis|101a0b9d-2623-428b-0114-7f8347cfc3fa|nan
0dfe0ffc-6f0c-4acb-b2f3-e77c923aff85|palm branch|101a0b9d-2623-428b-0065-7f8347cfc3fa|nan
0dfe0ffc-6f0c-4acb-b2f3-e77c923aff85|Atlante 39|Statement|07ff0223-1d7e-48f3-a32a-2c7d401b174e
0dfe0ffc-6f0c-4acb-b2f3-e77c923aff85|Armstrong 3.14|Statement|8915a20f-ab40-484d-88ad-63ba7fabe264
0e32fec3-d709-4485-83af-874c8a068836|blossom|101a0b9d-2623-428b-0232-7f8347cfc3fa|nan
0e3ee98b-5c30-432a-9fbb-fd922e967628|medallion|101a0b9d-2623-428b-0246-7f8347cfc3fa|nan
0e3ee98b-5c30-432a-9fbb-fd922e967628|lion|101a0b9d-2623-428b-0031-7f8347cfc3fa|nan
0e4716ee-f9e0-4c5b-b222-6cf9870a3d23|mask|101a0b9d-2623-428b-0227-7f8347cfc3fa|nan
0e4716ee-f9e0-4c5b-b222-6cf9870a3d23|Atlante 181|Statement|59f79782-b5d7-4a76-b1ca-0193f667f15c
0e4716ee-f9e0-4c5b-b222-6cf9870a3d23|Oceanus|101a0b9d-2623-428b-0102-7f8347cfc3fa|nan
0e4716ee-f9e0-4c5b-b222-6cf9870a3d23|Armstrong 5.110|Statement|a9f4f2b0-38f8-431d-96e1-7f0b5c0c2747
0e9b5da0-dda3-453c-808a-2f7eb0a3fc53|human head|101a0b9d-2623-428b-0256-7f8347cfc3fa|nan
0e9b5da0-dda3-453c-808a-2f7eb0a3fc53|leaf-spray|8df6d8b5-832c-4e67-9feb-ce20031e9b0b|nan
0ece4616-6dea-4c91-b466-bcd7676c4130|sand|bb9a27ba-ebe6-4f3e-a95a-1522d82278a8|nan
0eeab2b7-39db-4401-921c-6e9a27b5c8e2|Armstrong 3.20|Statement|ac6d25d9-4901-4657-82e7-082a5886e6b0
0eeab2b7-39db-4401-921c-6e9a27b5c8e2|leaf|101a0b9d-2623-428b-0060-7f8347cfc3fa|nan
0eeab2b7-39db-4401-921c-6e9a27b5c8e2|oak|101a0b9d-2623-428b-0063-7f8347cfc3fa|nan
0eeab2b7-39db-4401-921c-6e9a27b5c8e2|Atlante 9|Statement|6db5456e-ed8b-4cfc-911f-863f057dfb57
0eeb912a-4b5a-4a3e-b5ff-8fd61ff3d660|pallium|101a0b9d-2623-428b-0215-7f8347cfc3fa|nan
0eeb912a-4b5a-4a3e-b5ff-8fd61ff3d660|man|101a0b9d-2623-428b-0003-7f8347cfc3fa|nan
0f2935f0-079b-42ab-83a1-9308ade79a12|human|101a0b9d-2623-428b-0002-7f8347cfc3fa|nan
0f2935f0-079b-42ab-83a1-9308ade79a12|cave|101a0b9d-2623-428b-0179-7f8347cfc3fa|nan
0f2935f0-079b-42ab-83a1-9308ade79a12|Armstrong 8.126|Statement|880c19d8-b56d-4959-a4fb-9cd1d6cf913b
0f3efd50-840e-4685-82ce-b954585ae8ff|log for firewood|d32c8767-05a6-433a-99f4-a80bfca8450e|nan
0f704c9e-6f2b-436a-b21c-ec19b56143de|Chi Rho|101a0b9d-2623-428b-0234-7f8347cfc3fa|nan
0fbcb9b8-614a-46d0-bbca-816751782140|bear|101a0b9d-2623-428b-0009-7f8347cfc3fa|nan
0fbcb9b8-614a-46d0-bbca-816751782140|Armstrong 6.76|Statement|6bb3ccec-fa2a-49d2-b6fb-acfef1b9250e
0fc6f9f1-d91a-4782-a151-2c225eeed5f3|fish|101a0b9d-2623-428b-0022-7f8347cfc3fa|nan
0febf4bf-70be-4c07-a70c-8bbf84951527|tree|101a0b9d-2623-428b-0070-7f8347cfc3fa|nan
0febf4bf-70be-4c07-a70c-8bbf84951527|Löwenstein Entdeckung Achills auf Skyros|Statement|d2d88ce6-86c6-4c4b-9cc6-c866bbc82de5
10254841-7ed0-4965-8cbb-f52cdd25b922|Löwenstein Entdeckung Achills auf Skyros|Statement|d2d88ce6-86c6-4c4b-9cc6-c866bbc82de5
